"mun","uf","total","agropecuaria","industria","servicos","adm","s_agropecuaria","s_industria","s_servicos","s_adm"
"Novo Jardim ","TO",25891,4635,2699,3459,15098,0.179019736588004,0.10424471824186,0.133598547757908,0.583136997412228
"Oliveira de Fátima ","TO",17659,4125,571,3535,9428,0.233591936123223,0.0323347867942692,0.200181210714083,0.533892066368424
"Palmeirante ","TO",70510,27613,2502,9750,30645,0.391618210182953,0.0354843284640477,0.138278258403063,0.434619202949936
"Palmeirópolis ","TO",98484,19928,5529,32498,40529,0.202347589456155,0.0561410990617765,0.32998253523415,0.411528776247918
"Paraíso do Tocantins ","TO",880001,35999,162412,447251,234340,0.0409079080591954,0.18455888118309,0.508239195182733,0.266295151937327
"Paranã ","TO",190302,24077,92726,18962,54537,0.126519952496558,0.487257096614854,0.09964162226356,0.286581328625028
"Pau D'Arco ","TO",53463,18590,1365,8670,24838,0.347717112769579,0.0255316761124516,0.162168228494473,0.464582982623497
"Pedro Afonso ","TO",529585,131298,122226,211281,64780,0.247926206369138,0.230795811814912,0.398955786134426,0.122322195681524
"Peixe ","TO",536458,99651,340883,31481,64442,0.185757319305519,0.635432783181535,0.0586830655894776,0.12012496784464
"Pequizeiro ","TO",68178,20760,5502,11729,30188,0.304497051834903,0.0807005192290768,0.172034967291502,0.442782129132565
"Colméia ","TO",103404,16829,5791,39177,41608,0.162749990329194,0.0560036362229701,0.378873157711501,0.402382886542107
"Pindorama do Tocantins ","TO",42716,10925,1202,6994,23596,0.255758966195337,0.0281393388894091,0.163732559228392,0.55239254611855
"Piraquê ","TO",46074,22176,1124,4401,18373,0.481312670920693,0.0243955376134045,0.0955202500325563,0.398771541433346
"Pium ","TO",111234,54987,3694,14825,37728,0.494336264091914,0.0332092705467753,0.133277594979952,0.339176870381358
"Ponte Alta do Bom Jesus ","TO",39096,6999,1116,7479,23502,0.17902087170043,0.0285451197053407,0.191298342541436,0.601135666052793
"Ponte Alta do Tocantins ","TO",67265,12004,2041,14152,39068,0.178458336430536,0.0303426744963949,0.210391734185683,0.580807254887386
"Porto Alegre do Tocantins ","TO",26045,2919,758,5575,16794,0.112075254367441,0.0291034747552313,0.214052601267038,0.644807064695719
"Porto Nacional ","TO",1207234,105265,234894,601494,265580,0.0871951916529853,0.194572054796336,0.498241434552042,0.219990490658812
"Praia Norte ","TO",57818,5294,1367,8333,42825,0.0915631810162925,0.0236431561105538,0.144124667058701,0.740686291466325
"Presidente Kennedy ","TO",42878,8454,2248,11897,20279,0.197164046830542,0.052427818461682,0.277461635337469,0.472946499370306
"Pugmil ","TO",40228,5520,2260,16961,15488,0.137217858208213,0.0561797752808989,0.421621755990852,0.385005468827682
"Recursolândia ","TO",37131,8457,946,5331,22396,0.227761169911933,0.0254773639277154,0.143572755918235,0.603161778567774
"Riachinho ","TO",40441,6223,1273,6463,26483,0.153878489651591,0.0314779555401696,0.159813061002448,0.65485522118642
"Rio da Conceição ","TO",16397,613,439,2752,12593,0.037384887479417,0.0267731902177228,0.16783557967921,0.768006342623651
"Rio dos Bois ","TO",35520,14126,1096,5599,14700,0.397691441441441,0.0308558558558559,0.157629504504504,0.413851351351351
"Rio Sono ","TO",51749,9678,1909,7528,32633,0.18701810663008,0.0368896017314344,0.145471410075557,0.63060155751802
"Sampaio ","TO",30788,2817,664,4705,22601,0.0914966870209172,0.0215668442250227,0.152819280239054,0.73408470832792
"Sandolândia ","TO",57760,28469,1118,9448,18726,0.492884349030471,0.0193559556786704,0.163573407202216,0.324203601108033
"Santa Fé do Araguaia ","TO",86890,24161,2880,21110,38739,0.278064219127633,0.0331453561974911,0.242950857405916,0.445839567268961
"Santa Maria do Tocantins ","TO",44334,18737,1306,6104,18187,0.422632742364776,0.0294582036360355,0.137682140118194,0.410226913880994
"Santa Rita do Tocantins ","TO",45071,25655,1010,4452,13955,0.569213019458188,0.0224090878835615,0.098777484413481,0.309622595460496
"Santa Rosa do Tocantins ","TO",105095,53590,4746,20845,25913,0.509919596555497,0.0451591417289119,0.198344355107284,0.246567391407774
"Santa Tereza do Tocantins ","TO",23826,3988,631,4238,14969,0.167380172920339,0.0264836732980777,0.177872911944934,0.628263241836649
"Santa Terezinha do Tocantins ","TO",26047,8543,560,3046,13899,0.327984028870887,0.0214995968825585,0.116942450186202,0.533612316197643
"São Bento do Tocantins ","TO",40930,6274,1364,7303,25989,0.153286098216467,0.0333251893476667,0.178426581969216,0.63496213046665
"São Félix do Tocantins ","TO",14616,1766,463,2265,10123,0.120826491516147,0.0316776135741653,0.154967159277504,0.69259715380405
"São Miguel do Tocantins ","TO",79452,5602,3011,14680,56160,0.0705079796606756,0.0378970951014449,0.184765644665962,0.706841866787494
"São Salvador do Tocantins ","TO",28104,4950,748,5224,17182,0.176131511528608,0.0266154284087674,0.185881013378878,0.611372046683746
"São Sebastião do Tocantins ","TO",36258,5126,1865,5562,23706,0.141375696398036,0.0514369242649898,0.153400628826742,0.653814330630482
"São Valério ","TO",85907,45077,2156,15808,22867,0.524718591034491,0.0250969071204908,0.184012944230389,0.266183198109584
"Silvanópolis ","TO",109237,30848,8828,41451,28111,0.282395159149372,0.0808151084339555,0.37945934069958,0.257339546124482
"Sítio Novo do Tocantins ","TO",71634,6679,2009,16021,46926,0.0932378479492978,0.0280453415975654,0.223650780355697,0.655079989948907
"Sucupira ","TO",53672,34326,1816,5356,12174,0.639551348934267,0.0338351468177076,0.0997913250857058,0.226822179162319
"Taguatinga ","TO",247115,31748,13073,122392,79902,0.128474596847622,0.0529024947898752,0.495283572425794,0.32333933593671
"Taipas do Tocantins ","TO",19839,4226,466,2725,12422,0.213014768889561,0.0234890871515701,0.137355713493624,0.626140430465245
"Talismã ","TO",63552,31652,3101,11645,17154,0.498048841893253,0.0487946878147029,0.183235775427996,0.269920694864048
"Palmas ","TO",6501656,49686,1109624,3760092,1582254,0.0076420530400255,0.170667903684846,0.578328352038311,0.243361691236817
"Tocantínia ","TO",57891,3226,7594,9848,37224,0.0557254150040594,0.131177557824187,0.170112798189701,0.643001502824273
"Tocantinópolis ","TO",225081,11283,15594,87887,110317,0.0501286203633359,0.0692817252455783,0.390468320293583,0.490121334097503
"Tupirama ","TO",46178,27012,1886,5748,11531,0.584953874139201,0.040841959374594,0.124474858157564,0.249707652994933
"Tupiratins ","TO",23685,4328,899,3354,15105,0.182731686721554,0.0379565125606924,0.141608613046232,0.637745408486384
"Wanderlândia ","TO",128598,12186,40624,20963,54826,0.094760416180656,0.31589915861833,0.163011866436492,0.426336334935224
"Xambioá ","TO",280088,20998,150644,49643,58804,0.0749692953643141,0.537845248636143,0.177240724343778,0.20994830196224
"Açailândia ","MA",1859006,165397,699466,691697,302446,0.088970664968268,0.376258064793766,0.37207894971829,0.162692320519676
"Afonso Cunha ","MA",35284,4968,1966,7190,21161,0.140800362770661,0.055719306201111,0.203775082190228,0.599733590295885
"Água Doce do Maranhão ","MA",57474,7129,3969,14080,32295,0.124038695758082,0.0690573128719073,0.244980338935867,0.561906253262345
"Alcântara ","MA",104671,15412,9054,23820,56385,0.147242311624041,0.0864996035195995,0.227570196138376,0.538687888717983
"Aldeias Altas ","MA",203998,84838,13261,35037,70862,0.415876626241434,0.0650055392699928,0.171751683840038,0.347366150648536
"Altamira do Maranhão ","MA",58896,17309,2211,9336,30039,0.293890926378701,0.037540749796251,0.158516707416463,0.510034637326813
"Alto Alegre do Maranhão ","MA",184384,12954,16356,90067,65007,0.0702555536272128,0.0887061784102742,0.48847513884068,0.352563129121833
"Alto Alegre do Pindaré ","MA",141273,20445,6841,32050,81937,0.144719797838228,0.0484239734414927,0.226865713901453,0.579990514818826
"Alto Parnaíba ","MA",303158,185671,23039,62025,32422,0.612456210952705,0.0759966750011545,0.204596283126291,0.106947532309885
"Amapá do Maranhão ","MA",37576,6857,1674,10293,18752,0.182483500106451,0.0445497125824995,0.273924845646157,0.499041941664892
"Amarante do Maranhão ","MA",244873,73472,9615,54670,107116,0.300041245870308,0.0392652517835776,0.223258587104336,0.437434915241778
"Anajatuba ","MA",138226,37548,7961,27036,65681,0.2716420933833,0.0575940850491225,0.195592724957678,0.4751710966099
"Anapurus ","MA",99145,16767,10977,32208,39193,0.169115941298099,0.110716627162237,0.324857531897726,0.395309899641939
"Apicum-Açu ","MA",88338,16021,4003,18015,50298,0.181360230025584,0.0453145871538862,0.203932622427494,0.569381240236365
"Araguanã ","MA",61631,11544,2485,12837,34765,0.187308335091107,0.0403206178708767,0.208288036864565,0.564083010173452
"Araioses ","MA",210569,39677,9777,53610,107505,0.188427546314985,0.0464313360466165,0.254595880685191,0.510545236953208
"Arame ","MA",174565,45027,9280,41496,78764,0.257938303783691,0.0531607137742388,0.237710881333601,0.451201558158852
"Arari ","MA",194735,55852,10589,56611,71683,0.28681028063779,0.0543764603178679,0.290707885074589,0.368105373969754
"Axixá ","MA",59980,12743,2695,13202,31341,0.212454151383795,0.0449316438812938,0.220106702234078,0.522524174724908
"Bacabal ","MA",922831,71282,81387,523374,246789,0.077242745421426,0.0881927460174181,0.567139595440552,0.267425996742632
"Bacabeira ","MA",260966,19131,138519,51636,51680,0.0733084003280121,0.53079328341623,0.197864855958247,0.19803346029751
"Bacuri ","MA",82663,9521,3735,19215,50192,0.115178495820379,0.0451834557177939,0.23244982640359,0.607188222058236
"Bacurituba ","MA",27947,3673,1602,5823,16849,0.131427344616596,0.0573227895659641,0.208358678927971,0.602891186889469
"Balsas ","MA",2383270,731106,209311,1205544,237309,0.306765914059255,0.0878251310174676,0.505836099141096,0.0995728557821816
"Barão de Grajaú ","MA",157648,12547,19067,80614,45419,0.0795887039480361,0.120946665990054,0.511354409824419,0.288103876991779
"Barra do Corda ","MA",519277,45983,35234,225828,212233,0.0885519674470466,0.0678520327301228,0.434889278747181,0.408708646830112
"Barreirinhas ","MA",371719,57938,23351,131663,158767,0.155865048598538,0.0628189573306718,0.354200350264582,0.427115643806208
"Belágua ","MA",35839,5208,1722,6053,22856,0.145316554591367,0.0480482156310165,0.168894221378945,0.637741008398672
"Bela Vista do Maranhão ","MA",59091,7244,3253,16900,31694,0.122590580629876,0.0550506845374084,0.285999560000677,0.536359174832039
"Benedito Leite ","MA",33182,8944,1878,7356,15004,0.269543728527515,0.0565969501536978,0.221686456512567,0.45217286480622
"Bequimão ","MA",95942,15719,4267,25298,50657,0.163838569135519,0.0444747868503888,0.263680140084634,0.527996080965583
"Bernardo do Mearim ","MA",43819,14102,3081,9913,16723,0.321823866359342,0.0703119651292818,0.226226066318264,0.381638102193113
"Boa Vista do Gurupi ","MA",49339,5200,2651,21461,20027,0.10539329941831,0.0537303147611423,0.434970307464683,0.405906078355865
"Bom Jardim ","MA",235272,64029,10304,57763,103176,0.272148831990207,0.0437961168349825,0.245515828487878,0.438539222686933
"Bom Jesus das Selvas ","MA",220213,56968,14454,57517,91274,0.258694990758947,0.0656364519805824,0.261188031587599,0.414480525672871
"Bom Lugar ","MA",78430,21496,3044,15148,38741,0.274078796378937,0.0388116792043861,0.193140379956649,0.493956394236899
"Brejo ","MA",212427,47458,13078,66383,85508,0.223408512100628,0.0615646786896204,0.312497940468961,0.402528868740791
"Brejo de Areia ","MA",50638,14105,2275,9733,24526,0.278545756151507,0.0449267348631463,0.192207433152968,0.484339823847703
"Buriti ","MA",143270,29300,7251,37800,68919,0.204508969079361,0.0506107349759196,0.263837509597264,0.481042786347456
"Buriti Bravo ","MA",125187,18779,12742,35121,58545,0.150007588647384,0.10178373153762,0.280548299743584,0.467660380071413
"Buriticupu ","MA",444721,91321,25493,149711,178195,0.205344474400804,0.0573235804020948,0.336640275588515,0.400689421007778
"Buritirana ","MA",74477,17369,2920,14049,40139,0.233212938222538,0.039206734965157,0.188635417645716,0.538944909166588
"Cachoeira Grande ","MA",49653,12597,2509,8460,26087,0.253700682738203,0.0505306829396008,0.170382454232373,0.525386180089823
"Cajapió ","MA",43164,6112,2004,8047,27001,0.141599481049022,0.0464275785376703,0.186428505235845,0.625544435177463
"Cajari ","MA",88295,21242,3157,13758,50138,0.240579874285067,0.0357551390225947,0.155818562772524,0.567846423919814
"Campestre do Maranhão ","MA",129147,53049,8796,29027,38274,0.410764477688216,0.0681084345745546,0.224759382718917,0.296359961903877
"Cândido Mendes ","MA",100859,16178,4844,23942,55895,0.160402145569558,0.0480274442538593,0.237380898085446,0.554189512091137
"Cantanhede ","MA",106233,11768,7907,28594,57963,0.110775371118202,0.0744307324466032,0.269163066090574,0.545621417073791
"Capinzal do Norte ","MA",76712,18166,5351,21089,32106,0.23680780060486,0.0697544060903118,0.274911356762958,0.418526436541871
"Carolina ","MA",272355,96949,18323,87313,69770,0.355965559655597,0.0672761652989664,0.320585265554148,0.256173009491289
"Carutapera ","MA",136081,24327,6952,41779,63023,0.17876852756814,0.0510872201115512,0.307015674487989,0.46312857783232
"Caxias ","MA",1323623,49954,174920,659878,438872,0.0377403535598883,0.132152433132395,0.498539236625535,0.331568732184315
"Cedral ","MA",53253,14127,2092,10335,26699,0.265280829249056,0.0392841717837493,0.194073573319813,0.501361425647381
"Central do Maranhão ","MA",35086,4799,1915,6697,21676,0.136778202131904,0.054580174428547,0.190873852818788,0.617796272017329
"Centro do Guilherme ","MA",60499,14947,2236,12429,30888,0.247061934908015,0.0369592885832824,0.205441412254748,0.510553893452784
"Centro Novo do Maranhão ","MA",110256,29518,4540,21641,54557,0.267722391525178,0.0411768974024089,0.196279567551879,0.494821143520534
"Chapadinha ","MA",513882,33593,34201,251863,194224,0.0653710384874349,0.0665541894831888,0.490118354019016,0.377954472038328
"Cidelândia ","MA",123998,36519,18485,30092,38903,0.294512814722818,0.149074985080405,0.242681333569896,0.313738931273085
"Codó ","MA",811209,50578,111144,341163,308324,0.0623489137817751,0.137010314234679,0.420561162413139,0.380079609570407
"Coelho Neto ","MA",332438,45631,26080,117713,143014,0.137261684885603,0.0784507186302408,0.354090085970918,0.430197510513239
"Colinas ","MA",288529,44989,23774,107360,112405,0.155925400912906,0.0823972633600089,0.372094312876695,0.389579556994271
"Conceição do Lago-Açu ","MA",94141,28664,3636,15387,46454,0.304479451036212,0.0386229166887966,0.163446319881879,0.493451312393112
"Coroatá ","MA",332306,26473,23279,122912,159641,0.0796645260693457,0.0700529030471914,0.369875957701636,0.480403603907242
"Cururupu ","MA",178449,37696,7835,48577,84341,0.211242427808506,0.0439061020235473,0.272217832545994,0.472633637621954
"Davinópolis ","MA",337027,8893,18021,272945,37168,0.0263866099748685,0.0534704934619482,0.80986093102333,0.110281965539853
"Dom Pedro ","MA",189894,14714,17564,96949,60667,0.0774853339231361,0.0924937070154929,0.510542723835403,0.319478235225968
"Duque Bacelar ","MA",59519,7099,3591,12996,35833,0.119272837245249,0.0603336749609368,0.218350442715771,0.602043045078042
"Esperantinópolis ","MA",115226,13906,8645,37345,55331,0.120684567719091,0.0750264697203756,0.32410219915644,0.480195442000937
"Estreito ","MA",665810,40617,377400,137199,110594,0.0610038899986483,0.566828374461183,0.206063291329358,0.166104444210811
"Feira Nova do Maranhão ","MA",80459,38760,2944,12931,25825,0.481736039473521,0.0365900645049031,0.160715395418785,0.32097092929318
"Fernando Falcão ","MA",45946,8888,1915,8022,27120,0.193444478300614,0.0416793627301615,0.174596265180864,0.590258129108083
"Formosa da Serra Negra ","MA",108136,31517,4407,27225,44987,0.291457054080047,0.0407542354072649,0.251766294296072,0.416022416216616
"Fortaleza dos Nogueiras ","MA",120354,42881,7959,34652,34861,0.356290609369028,0.0661299167456005,0.287917310600395,0.289653854462668
"Fortuna ","MA",85884,16623,4987,24291,39983,0.193551767500349,0.0580666946113362,0.282834986726282,0.465546551162033
"Godofredo Viana ","MA",117033,10983,52696,21795,31559,0.0938453256773731,0.450266164244273,0.186229525005768,0.269658985072586
"Gonçalves Dias ","MA",103182,17125,5961,32680,47416,0.165968870539435,0.0577717043670408,0.316721908860073,0.459537516233452
"Governador Archer ","MA",62586,11243,3381,16637,31325,0.179640814239606,0.0540216661873262,0.265826223116991,0.500511296456076
"Governador Edison Lobão ","MA",243786,11321,106013,81624,44827,0.0464382696299213,0.434860902594899,0.33481824222884,0.183878483588065
"Governador Eugênio Barros ","MA",78153,16309,3586,20134,38125,0.208680408941435,0.0458843550471511,0.257622867964122,0.487825163461415
"Governador Luiz Rocha ","MA",43446,8434,2444,10238,22330,0.19412604152281,0.0562537402752843,0.235648851447774,0.513971366754132
"Governador Newton Bello ","MA",45827,15018,2055,7943,20811,0.327710738211098,0.044842560062845,0.173325768651668,0.454120933074388
"Governador Nunes Freire ","MA",158852,21144,9186,60089,68433,0.133105028580062,0.0578274116787954,0.378270339687256,0.430797220053887
"Graça Aranha ","MA",35775,4064,5403,8920,17389,0.113598881900769,0.151027253668763,0.249336128581412,0.486065688329839
"Grajaú ","MA",501142,92345,44102,192252,172444,0.184269129308659,0.0880030011453839,0.383627794118234,0.344102070870133
"Guimarães ","MA",61094,18253,3102,11886,27853,0.298769109896226,0.0507742167806986,0.194552656562019,0.455904016761057
"Humberto de Campos ","MA",110841,14188,4519,26535,65599,0.128003175720176,0.0407701121426187,0.239396974043901,0.591829738093305
"Icatu ","MA",115694,21509,5104,23902,65179,0.185912839040918,0.0441163759572666,0.206596712016181,0.563374072985634
"Igarapé do Meio ","MA",110903,14850,34862,24852,36340,0.133900796191266,0.314346771503025,0.224087716292616,0.327673732901725
"Igarapé Grande ","MA",69069,10955,4685,22279,31149,0.158609506435593,0.0678307200046331,0.32256149647454,0.450983798809886
"Imperatriz ","MA",5365283,41307,1866054,2803870,654053,0.00769894150970228,0.347801597790834,0.522594987067784,0.121904660015138
"Itaipava do Grajaú ","MA",66555,11571,2838,10724,41423,0.173856209150327,0.0426414243858463,0.161129892570055,0.622387499060927
"Itapecuru Mirim ","MA",448275,35837,54923,179678,177836,0.079944230661982,0.122520774078412,0.400820924655624,0.396711839830461
"Itinga do Maranhão ","MA",217894,57423,17991,72884,69595,0.263536398432265,0.0825676705186926,0.334492918575087,0.319398423086455
"Jatobá ","MA",48128,8981,2457,8496,28195,0.186606549202128,0.0510513630319149,0.176529255319149,0.58583361037234
"Jenipapo dos Vieiras ","MA",79425,22255,2978,12240,41953,0.28020144790683,0.0374944916587976,0.154107648725212,0.528209002203336
"João Lisboa ","MA",172734,26406,23930,53142,69257,0.15287088818646,0.138536709622888,0.307652228281635,0.400945963157224
"Joselândia ","MA",78596,14462,3868,20537,39728,0.184004275026719,0.0492137004427706,0.261298284899995,0.505471016336709
"Junco do Maranhão ","MA",32232,11888,1255,7016,12073,0.368826011417225,0.0389364606602135,0.217671878878134,0.374565649044428
"Lago da Pedra ","MA",307348,42672,19006,127687,117984,0.138839361245233,0.0618386975025053,0.415447635904577,0.383877558988508
"Lago do Junco ","MA",55354,8969,3209,13688,29488,0.16202984427503,0.0579723235899845,0.247281135961267,0.532716696173718
"Lago Verde ","MA",85626,22813,3720,18012,41081,0.266426085534767,0.0434447480905332,0.210356667367388,0.479772499007311
"Lagoa do Mato ","MA",59233,12591,3101,13624,29917,0.212567318893185,0.052352573734236,0.23000692181723,0.505073185555349
"Lago dos Rodrigues ","MA",57865,14919,3158,16182,23606,0.257824246090037,0.0545753045882658,0.279650911604597,0.4079495377171
"Lagoa Grande do Maranhão ","MA",68893,17925,3232,17159,30577,0.260186085669081,0.0469133293658282,0.249067394365175,0.443833190599916
"Lajeado Novo ","MA",51571,17519,2192,12873,18987,0.339706424153109,0.0425045083477148,0.249617032828528,0.368172034670648
"Lima Campos ","MA",143041,11708,50896,45858,34578,0.0818506582028929,0.355814067295391,0.320593396298963,0.241734887200173
"Loreto ","MA",151223,78940,9415,30542,32326,0.522010540724625,0.0622590478961534,0.201966632059938,0.213763779319283
"Luís Domingues ","MA",34459,6518,1596,7689,18656,0.189152325952581,0.0463159116631359,0.223134739835747,0.541397022548536
"Magalhães de Almeida ","MA",91857,15401,5166,21076,50214,0.167662780190949,0.0562395897971848,0.22944359166966,0.546654038342206
"Maracaçumé ","MA",128028,15893,6400,51583,54151,0.124136907551473,0.0499890648920549,0.402904052238573,0.42296216452651
"Marajá do Sena ","MA",47721,15582,2002,7334,22804,0.326522914440184,0.0419521803818026,0.15368496049957,0.477860899813499
"Maranhãozinho ","MA",79511,19665,8642,14194,37010,0.247324269597917,0.108689363735835,0.178516180151174,0.465470186515073
"Mata Roma ","MA",100108,19370,6085,27426,47227,0.193491029687937,0.0607843528988692,0.273964118751748,0.471760498661446
"Matinha ","MA",124830,25970,7808,31668,59384,0.208042938396219,0.0625490667307538,0.253689017063206,0.475718977809821
"Matões ","MA",135739,10308,7542,35767,82123,0.0759398551632176,0.0555625133528315,0.2634983313565,0.605006667206919
"Matões do Norte ","MA",67588,14214,3247,9774,40352,0.210303604190093,0.0480410723797124,0.144611469491626,0.597029058412736
"Milagres do Maranhão ","MA",43243,12670,2026,6549,21998,0.292995398099114,0.0468515135397637,0.151446476886432,0.50870661147469
"Mirador ","MA",151650,47967,10263,39340,54080,0.316300692383778,0.067675568743818,0.259413122321134,0.356610616551269
"Miranda do Norte ","MA",421466,9253,263587,69313,79313,0.0219543213450195,0.625405133510176,0.16445691941936,0.188183625725444
"Mirinzal ","MA",73534,5779,4465,25976,37314,0.0785894960154486,0.0607202110588299,0.353251557102837,0.507438735822885
"Monção ","MA",164329,41660,6119,31043,85506,0.253515812790195,0.0372362760072781,0.188907618253625,0.520334207595738
"Montes Altos ","MA",54000,19161,2752,9242,22845,0.354833333333333,0.050962962962963,0.171148148148148,0.423055555555556
"Morros ","MA",90619,9191,5327,26693,49407,0.101424646045531,0.0587845815998852,0.294562950374645,0.545216786766572
"Nina Rodrigues ","MA",49468,8326,2363,7773,31007,0.168310827201423,0.0477682542249535,0.157131883237649,0.626809250424517
"Nova Colinas ","MA",48348,20873,2366,9083,16026,0.431724166459833,0.0489368743277902,0.187867129974353,0.331471829238024
"Nova Iorque ","MA",29337,7247,1625,7711,12754,0.247025939939326,0.0553908034222995,0.262842144731909,0.434741111906466
"Nova Olinda do Maranhão ","MA",122620,23294,6069,30936,62321,0.189969009949437,0.0494943728592399,0.252291632686348,0.508244984504975
"Olho d'Água das Cunhãs ","MA",125370,26920,5789,36762,55900,0.214724415729441,0.0461753210496929,0.293228044986839,0.445880194623913
"Olinda Nova do Maranhão ","MA",72962,11760,3847,19128,38227,0.161179792220608,0.0527260765878128,0.262163866122091,0.523930265069488
"Paço do Lumiar ","MA",674184,17210,103971,289909,263093,0.0255271557912973,0.154217542985298,0.430014654753005,0.390239163195804
"Palmeirândia ","MA",105908,21845,7199,23087,53776,0.206263927182083,0.0679740907202478,0.217991086603467,0.507761453336858
"Paraibano ","MA",124608,21063,10031,39681,53832,0.169034090909091,0.0805004494093477,0.318446648690293,0.432010785824345
"Parnarama ","MA",190795,34134,10555,46458,99648,0.178904059330695,0.0553211562147855,0.243496946984984,0.522277837469535
"Passagem Franca ","MA",105238,17034,6422,33734,48047,0.161861684942701,0.0610235846367282,0.320549611357114,0.456555616792413
"Pastos Bons ","MA",153004,32091,24029,46381,50503,0.209739614650597,0.157048181746882,0.303135865729001,0.33007633787352
"Paulino Neves ","MA",72270,9520,4601,14670,43479,0.131728241317282,0.0636640376366404,0.202988792029888,0.601618929016189
"Paulo Ramos ","MA",128967,27063,6715,39667,55522,0.209844378794575,0.0520675831801934,0.307574805958113,0.430513232067118
"Pedreiras ","MA",391071,27812,31108,229996,102155,0.0711175208593836,0.0795456579495795,0.588118270083949,0.261218551107088
"Pedro do Rosário ","MA",122686,14251,5576,22285,80574,0.116158322873025,0.0454493585250151,0.181642567204082,0.656749751397878
"Penalva ","MA",150227,25018,7003,31358,86847,0.166534644238386,0.046616120936982,0.208737444001411,0.578105134230198
"Peri Mirim ","MA",62934,11150,3442,13209,35132,0.177169733371469,0.0546922172434614,0.209886547811994,0.558235611910891
"Peritoró ","MA",131366,11303,7520,53720,58823,0.0860420504544555,0.0572446447330359,0.408933818491847,0.447779486320661
"Pindaré-Mirim ","MA",343129,17009,126803,94377,104941,0.0495702782335506,0.369549061723142,0.275048159730014,0.305835414669119
"Pinheiro ","MA",620961,53718,35491,327280,204472,0.0865078483189766,0.0571549582018839,0.527054033989252,0.329283159489887
"Pio XII ","MA",130258,18283,8432,41406,62138,0.140359901119317,0.0647330682184588,0.317876829062322,0.47703787867156
"Pirapemas ","MA",90218,14548,4649,20877,50144,0.161253851781241,0.05153073666009,0.231406149548871,0.555809262009799
"Poção de Pedras ","MA",114874,26539,5019,33668,49647,0.231027038320247,0.0436913487821439,0.29308633807476,0.432186569632815
"Porto Franco ","MA",372345,37416,89833,171364,73733,0.100487451154172,0.241262807342653,0.460229088614054,0.198023338570412
"Porto Rico do Maranhão ","MA",33275,7979,1787,6157,17351,0.239789631855748,0.0537039819684448,0.185033809166041,0.521442524417731
"Presidente Dutra ","MA",409737,22353,33863,237767,115754,0.0545545069154116,0.0826456971179073,0.580291748121356,0.282508047845325
"Presidente Juscelino ","MA",80693,25491,5598,11427,38177,0.315901007522338,0.0693740473151327,0.141610796475531,0.473114148686999
"Presidente Médici ","MA",39824,10736,1652,8058,19377,0.269586179188429,0.0414825231016472,0.202340297308156,0.486565889915629
"Presidente Sarney ","MA",124207,43590,6095,20572,53949,0.350946403986893,0.049071308380365,0.165626736013268,0.434347500543448
"Presidente Vargas ","MA",53895,8117,2621,11582,31575,0.15060766304852,0.0486315984785231,0.21489934131181,0.585861397161147
"Primeira Cruz ","MA",67581,11861,2528,10099,43094,0.175507909027685,0.0374069634956571,0.149435492224146,0.637664432310857
"Raposa ","MA",181098,19160,30128,61425,70384,0.105799070116732,0.166362963699213,0.339180995924858,0.388651448387061
"Riachão ","MA",255486,113486,16250,69506,56244,0.444196550887328,0.0636042679442318,0.272054046014263,0.220145135154177
"Ribamar Fiquene ","MA",64185,22109,4678,13781,23617,0.344457427747916,0.0728830723689336,0.214707486172782,0.367952013710368
"Rosário ","MA",256842,14662,27419,111810,102952,0.0570856791334751,0.10675434703047,0.435325998084425,0.400837869195848
"Sambaíba ","MA",210636,139463,14771,38618,17783,0.662104293663002,0.0701257145027441,0.183339979870487,0.0844252644372282
"Santa Filomena do Maranhão ","MA",39235,10808,1828,7710,18888,0.275468331846566,0.0465910539059513,0.196508219701797,0.481406907098254
"Santa Helena ","MA",214671,39868,9573,57868,107362,0.185716747953846,0.0445938203110807,0.269565987022001,0.500123444713073
"Santa Inês ","MA",1026329,19906,154065,626046,226311,0.0193953400907506,0.15011268316495,0.609985686850903,0.220505315546964
"Santa Luzia ","MA",450069,107418,22465,125324,194862,0.238670070589176,0.0499145686550285,0.278455081331974,0.432960279423822
"Santa Luzia do Paruá ","MA",195753,33801,12383,81268,68301,0.172671683192595,0.0632582897835538,0.415155834137919,0.348914192885933
"Santa Quitéria do Maranhão ","MA",132555,14455,7471,42056,68572,0.109049073969296,0.0563615103164724,0.317272075742145,0.517309795933763
"Santa Rita ","MA",220711,18366,22451,84109,95785,0.0832128892533675,0.10172125539733,0.381082048470624,0.433983806878678
"Santana do Maranhão ","MA",52692,7200,3165,9329,32997,0.136643133682532,0.0600660441812799,0.177047749183937,0.626224094739239
"Santo Amaro do Maranhão ","MA",65080,8478,2490,10366,43746,0.130270436385986,0.038260602335587,0.159280885064536,0.672188076213891
"Santo Antônio dos Lopes ","MA",867158,19880,663128,125570,58580,0.0229254645635513,0.764714158204157,0.144806367467059,0.0675540097652331
"São Benedito do Rio Preto ","MA",86536,6979,6501,20280,52776,0.0806485162244615,0.0751248035499676,0.234353332717019,0.609873347508551
"São Bento ","MA",218235,13583,12573,75233,116847,0.0622402456068,0.0576122070245378,0.34473388778152,0.53541824180356
"São Bernardo ","MA",214068,44511,16004,86016,67538,0.207929256124222,0.074761290804791,0.40181624530523,0.315497879178579
