"mun","uf","total","agropecuaria","industria","servicos","adm","s_agropecuaria","s_industria","s_servicos","s_adm"
"Bonfim ","RR",331761,179722,16245,30108,105686,0.541721299369124,0.0489659724922459,0.0907520775498024,0.318560650588827
"Cantá ","RR",197809,34120,9946,19170,134574,0.172489623829047,0.0502808264538014,0.0969116673154407,0.680322937783417
"Caracaraí ","RR",282338,40688,15329,47824,178497,0.144110959204925,0.054293081342221,0.169385629989587,0.632210329463267
"Caroebe ","RR",144238,41175,4846,17643,80574,0.285465688653475,0.0335972489912506,0.122318667757456,0.558618394597817
"Iracema ","RR",124416,18201,4721,13759,87735,0.146291473765432,0.0379452803497942,0.11058867026749,0.705174575617284
"Mucajaí ","RR",233499,34365,12588,42958,143588,0.14717407783331,0.0539102951190369,0.183975091970415,0.614940535077238
"Normandia ","RR",122724,19012,2821,10627,90264,0.154916723705225,0.0229865389002966,0.0865926795084906,0.735504057885988
"Pacaraima ","RR",142690,7716,6290,23981,104704,0.0540752680636345,0.0440815754432686,0.168063634452309,0.733786530240381
"Rorainópolis ","RR",433866,73930,33971,88374,237591,0.170398233555983,0.0782983686207262,0.203689618453624,0.547613779369667
"São João da Baliza ","RR",112844,13922,7236,23663,68022,0.123373861259792,0.0641239232923328,0.209696572259048,0.602796781397327
"São Luiz ","RR",98331,18572,2383,14144,63232,0.188872278325248,0.0242344733603848,0.143840701304777,0.64305254700959
"Uiramutã ","RR",96698,10978,1362,5047,79310,0.113528718277524,0.0140850896605928,0.0521934269581584,0.820182423628203
"Abaetetuba ","PA",1105892,148190,63147,441083,453472,0.134000426804787,0.0571005125274439,0.39884816962235,0.410050891045419
"Abel Figueiredo ","PA",62544,14379,4855,18426,24885,0.229902148887183,0.0776253517523663,0.294608595548734,0.397879892555641
"Acará ","PA",623785,316022,40515,85301,181948,0.506620069414943,0.0649502633118783,0.136747437017562,0.291683833372075
"Afuá ","PA",316590,117904,25176,40079,133431,0.372418585552292,0.0795224106889036,0.126595912694652,0.421463091064152
"Água Azul do Norte ","PA",333325,126466,82513,47958,76388,0.37940748518713,0.247545188629716,0.143877596939923,0.229169729243231
"Alenquer ","PA",498168,200206,24668,97983,175311,0.401884504825681,0.049517431870373,0.196686659921954,0.351911403381992
"Almeirim ","PA",584599,58839,274848,120200,130711,0.100648478700785,0.470147913355993,0.20561102567743,0.223590871691536
"Altamira ","PA",2935901,243795,1196361,1155773,339972,0.0830392441706992,0.407493645051383,0.393668928209773,0.115798182568145
"Anajás ","PA",169206,41525,10432,28382,88867,0.245410919234543,0.0616526600711559,0.16773636868669,0.525200052007612
"Ananindeua ","PA",5514338,12416,1130121,2989215,1382585,0.00225158486839218,0.204942279562841,0.542080481827556,0.25072547239578
"Anapu ","PA",281211,100843,19980,71734,88653,0.358602615118185,0.0710498522461781,0.255089594646013,0.315254381940963
"Augusto Corrêa ","PA",281463,79540,13549,46730,141645,0.282594870373726,0.0481377658875234,0.166025374560777,0.503245542042826
"Aurora do Pará ","PA",251836,101504,15880,36219,98234,0.403055957051414,0.0630569100525739,0.143819787480741,0.390071316253435
"Aveiro ","PA",97471,31695,3477,9600,52700,0.325173641390773,0.0356721486390824,0.0984908331708919,0.540673636261042
"Bagre ","PA",145016,43508,5210,18108,78189,0.30002206653059,0.0359270701164009,0.124868979974623,0.539174987587577
"Baião ","PA",301458,106854,11164,45703,137736,0.354457337340525,0.0370333512462764,0.151606525618826,0.456899468582688
"Bannach ","PA",66703,41898,1327,7833,15645,0.628127670419621,0.0198941576840622,0.117431000104943,0.234547171791374
"Barcarena ","PA",4561348,93644,2897524,1164477,405703,0.0205298959868881,0.635234145695527,0.255292295172392,0.088943663145193
"Belém ","PA",24888908,64794,4353682,16201234,4269199,0.00260332835815858,0.174924588897191,0.650941937669584,0.171530185253608
"Belterra ","PA",129612,40146,7128,25986,56353,0.309739838903805,0.0549949078789001,0.20049069530599,0.434782273246304
"Benevides ","PA",975623,5872,388270,408793,172687,0.00601871829589913,0.397971347538957,0.419007136978116,0.177001772200942
"Bom Jesus do Tocantins ","PA",130142,47120,4461,27694,50866,0.362066050928985,0.0342779425550553,0.212798327980206,0.39084999462126
"Bonito ","PA",79850,19551,5670,13350,41279,0.244846587351284,0.0710081402629931,0.167188478396994,0.516956793988729
"Bragança ","PA",922989,190376,70659,319912,342042,0.206260312961476,0.0765545418201084,0.346604347397423,0.370580797820992
"Brasil Novo ","PA",191764,76842,8603,56388,49931,0.400711290961807,0.0448624350764481,0.294048935149455,0.26037733881229
"Brejo Grande do Araguaia ","PA",59066,20499,2418,13693,22455,0.347052449801917,0.0409372566281786,0.231825415636745,0.3801679477195
"Breu Branco ","PA",483574,84637,96981,109499,192457,0.175023884658811,0.200550484517364,0.226436905209958,0.397988725613867
"Breves ","PA",618715,46213,36506,193718,342277,0.0746919017641402,0.0590029334992686,0.313097306514308,0.553206241969243
"Bujaru ","PA",370738,228165,25828,43034,73711,0.615434619596588,0.0696664490826406,0.116076582384325,0.198822348936446
"Cachoeira do Piriá ","PA",147002,30696,5281,20881,90144,0.208813485530809,0.0359246812968531,0.142045686453246,0.613216146719092
"Cachoeira do Arari ","PA",156765,66883,4405,20136,65341,0.426644978152011,0.0280993844289223,0.128447038560903,0.416808598858164
"Cametá ","PA",916976,280418,38044,210555,387959,0.305807349374466,0.0414885449564656,0.229618877702361,0.423085227966708
"Canaã dos Carajás ","PA",3252907,51502,2411755,573143,216507,0.0158326075722423,0.741415294073885,0.176194093467781,0.0665580048860911
"Capanema ","PA",833734,24791,183923,436953,188066,0.0297349034584172,0.220601534782077,0.524091616750666,0.225570745585522
"Capitão Poço ","PA",413342,132892,25691,113434,141325,0.321506161967572,0.0621543419250887,0.274431342568624,0.341908153538716
"Castanhal ","PA",2708373,126441,507713,1517789,556430,0.0466852239333356,0.187460515962905,0.560406192204693,0.205448067899067
"Chaves ","PA",164676,69676,5565,12147,77289,0.42310962131701,0.0337936311302193,0.0737630255774976,0.469339794505575
"Colares ","PA",61355,11170,2109,12102,35974,0.182055252220683,0.0343737266726428,0.19724553826094,0.586325482845734
"Conceição do Araguaia ","PA",478688,81740,64949,190244,141756,0.170758406310582,0.135681278828799,0.397427969784076,0.296134434119928
"Concórdia do Pará ","PA",241738,56218,17082,63791,104648,0.232557562319536,0.0706632800800867,0.263884867087508,0.432898427222861
"Cumaru do Norte ","PA",227738,161461,5328,16297,44653,0.708976982321791,0.0233953051313351,0.0715603017502569,0.19607180180734
"Curionópolis ","PA",327553,61337,130122,72678,63416,0.187258245230543,0.397254795407155,0.221881649687226,0.193605309675075
"Curralinho ","PA",468746,296788,24728,47556,99675,0.633153136240096,0.0527535168300103,0.101453665737948,0.212641814543484
"Curuá ","PA",91864,30225,2928,13455,45256,0.32901898458591,0.0318732038665854,0.146466515718889,0.492641295828616
"Curuçá ","PA",235579,69345,8725,48215,109294,0.294359853807003,0.0370364081688096,0.20466595070019,0.463937787323997
"Dom Eliseu ","PA",527925,132798,39375,185459,170293,0.251547094757778,0.0745844580196051,0.351298006345598,0.322570440877019
"Eldorado do Carajás ","PA",264147,77366,25699,65428,95654,0.292889943857019,0.0972905238371059,0.247695412024365,0.36212412028151
